,Titre,lien
0,Libération d'Ofer Kalderon: les images des retrouvailles de l'ex-otage franco-israélien avec sa famille,https://www.bfmtv.com/international/moyen-orient/israel/liberation-d-ofer-kalderon-les-images-des-retrouvailles-de-l-ex-otage-franco-israelien-avec-sa-famille_AV-202502010294.html
1,Ce que l'on sait de l'incendie qui a fait trois morts et neuf blessés dans un Ehpad du Val-d'Oise,https://www.bfmtv.com/paris/ce-que-l-on-sait-de-l-incendie-qui-a-fait-trois-morts-et-neufs-blesses-dans-un-ehpad-du-val-d-oise_AV-202502010284.html
2,"""Une vallée bloquée"": une automobiliste blessée après un éboulement en Savoie, l'accès aux stations de ski fortement perturbé",https://www.bfmtv.com/police-justice/une-vallee-bloquee-une-automobiliste-blessee-apres-un-eboulement-en-savoie-l-acces-aux-stations-de-ski-fortement-perturbe_AV-202502010279.html
