objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
619,False,52.77.12,1952,True,https://images.metmuseum.org/CRDImages/ad/original/DP243794.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP243794.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP243775.jpg'],,The American Wing,Bottle,Bottle,British,,,,,,,,,,,,,,,,,ca. 1760,1757,1760,Opaque glass with enamel decoration,H. 4 3/4 in. (12.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 12.1}}]","Bequest of Mrs. J. Insley Blair, 1951",Made in,,,,England,,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/619,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q116373178,False,774
620,False,52.77.35,1952,True,https://images.metmuseum.org/CRDImages/ad/original/DP244527.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP244527.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP244094.jpg'],,The American Wing,Bottle,Bottle,British,,,,,,,,,,,,,,,,,ca. 1760,1757,1760,Opaque glass with enamel decoration,H. 4 in. (10.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 10.2}}]","Bequest of Mrs. J. Insley Blair, 1951",Probably made in,Bristol,,Bristol,England,South West England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/620,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q116373176,False,774
621,False,52.77.36,1952,True,https://images.metmuseum.org/CRDImages/ad/original/DP244095.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP244095.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP244528.jpg'],,The American Wing,Bottle,Bottle,British,,,,,,,,,,,,,,,,,ca. 1760,1757,1760,Opaque glass with enamel decoration,H. 4 5/16 in. (11 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 11}}]","Bequest of Mrs. J. Insley Blair, 1951",Probably made in,Bristol,,Bristol,England,South West England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/621,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q116373171,False,774
622,False,52.77.41,1952,True,https://images.metmuseum.org/CRDImages/ad/original/DP244100.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP244100.jpg,[],,The American Wing,Bottle,Bottle,British,,,,,,,,,,,,,,,,,1760–70,1760,1770,Opaque glass,H. 5 1/8 in. (13 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 13}}]","Bequest of Mrs. J. Insley Blair, 1951",Probably made in,Bristol,,Bristol,England,South West England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/622,,https://www.wikidata.org/wiki/Q116373165,False,774
623,False,52.77.42,1952,True,https://images.metmuseum.org/CRDImages/ad/original/DP244572.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP244572.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP245208.jpg'],,The American Wing,Bottle,Bottle,British,,,,,,,,,,,,,,,,,ca. 1760,1757,1760,Opaque glass with enamel decoration,H. 3 3/8 in. (8.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 8.6}}]","Bequest of Mrs. J. Insley Blair, 1951",Probably made in,Bristol,,Bristol,England,South West England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/623,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q116373168,False,774
624,False,52.77.43,1952,True,https://images.metmuseum.org/CRDImages/ad/original/DP244573.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP244573.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP245211.jpg'],,The American Wing,Bottle,Bottle,British,,,,,,,,,,,,,,,,,1760–70,1760,1770,Opaque glass with enamel decoration,H. 4 1/8 in. (10.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 10.5}}]","Bequest of Mrs. J. Insley Blair, 1951",Probably made in,Bristol,,Bristol,England,South West England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/624,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q116373167,False,774
625,False,1980.502.72,1980,True,https://images.metmuseum.org/CRDImages/ad/original/DP206753.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP206753.jpg,[],,The American Wing,Bottle,Bottle,American,,,,,,,,,,,,,,,,,1815–45,1815,1815,"Blown, pattern-molded glass",H. 8 in. (20.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 20.3}}]","Gift of Henry G. Schiff, 1980",Possibly made in,,Pennsylvania,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/625,,https://www.wikidata.org/wiki/Q116373161,False,706
626,False,1980.502.75,1980,True,https://images.metmuseum.org/CRDImages/ad/original/DP206751.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP206751.jpg,[],,The American Wing,Bottle,Bottle,American,,,,,,,,,,,,,,,,,1815–45,1815,1815,"Blown, pattern-molded glass",H. 8 in. (20.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 20.3}}]","Gift of Henry G. Schiff, 1980",Possibly made in,,Pennsylvania,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/626,,https://www.wikidata.org/wiki/Q116373162,False,706
627,False,1980.502.77,1980,True,https://images.metmuseum.org/CRDImages/ad/original/DP206767.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP206767.jpg,[],,The American Wing,Bottle,Bottle,American,,,,,,,,,,,,,,,,,1810–30,1810,1810,"Blown, pattern-molded glass",H. 8 1/2 in. (21.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 21.6}}]","Gift of Henry G. Schiff, 1980",Possibly made in,,Pennsylvania,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/627,,https://www.wikidata.org/wiki/Q116373164,False,706
628,False,15.79.6,1915,True,https://images.metmuseum.org/CRDImages/ad/original/DP206703.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP206703.jpg,[],"[{'constituentID': 1137, 'role': 'Maker', 'name': 'Probably Boston &amp; Sandwich Glass Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500334773', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q4948224', 'gender': ''}]",The American Wing,Bottle,Bottle,American,,,,,Maker,Probably,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts",,Boston and Sandwich Glass Company,American,1825,1888,,https://www.wikidata.org/wiki/Q4948224,http://vocab.getty.edu/page/ulan/500334773,1825–40,1825,1840,Blown-molded glass,H. 4 1/16 in. (10.3 cm); Diam. 1 5/8 in. (4.1 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Diameter': 4.1275, 'Height': 10.3188}}]","Gift of Charles M. Baldwin, 1915",Made in,Sandwich,Massachusetts,,United States,New England,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/628,,https://www.wikidata.org/wiki/Q116373157,False,706
630,False,10.109.26,1910,True,https://images.metmuseum.org/CRDImages/ad/original/8078.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/8078.jpg,[],"[{'constituentID': 1229, 'role': 'Maker', 'name': 'Possibly A. R. Samuels', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Bottle,Bottle,American,,,,,Maker,Possibly,A. R. Samuels,,,"Samuels, A. R.",American,,9999,,,,1860–70,1860,1870,Free-blown molded amber glass,H. 9 in. (22.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 22.9}}]","Rogers Fund, 1910",Made in,Philadelphia,Pennsylvania,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/630,,https://www.wikidata.org/wiki/Q116373158,False,774
631,False,"13.7.8a, b",1913,True,https://images.metmuseum.org/CRDImages/ad/original/DP207102.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP207102.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP206706.jpg'],,The American Wing,Bottle,Figured bottle,American,,,,,,,,,,,,,,,,,1850–60,1850,1860,Blown-molded glass,H. 9 1/4 in. (23.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 23.5}}]","Rogers Fund, 1913",Made in,,,,United States,,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/631,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Hunting', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300239666', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q36963'}]",https://www.wikidata.org/wiki/Q116373155,False,706
632,True,1981.83,1981,True,https://images.metmuseum.org/CRDImages/ad/original/DP207183.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP207183.jpg,[],"[{'constituentID': 1231, 'role': 'Maker', 'name': 'Probably Wistarburgh Glassworks', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Bottle,Bottle,American,,,,,Maker,Probably,Wistarburgh Glassworks,,,Wistarburgh Glassworks,American,,9999,,,,1738–ca. 1777,1738,1777,Free-blown glass,H. 6 1/2 in. (16.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 16.5}}]","Purchase, Judith F. and William H. Hernstadt Gift, 1981",Made in,Alloway,New Jersey,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/632,"[{'term': 'Dogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265714', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q144'}]",https://www.wikidata.org/wiki/Q104412963,False,704
633,False,13.179.204,1913,True,https://images.metmuseum.org/CRDImages/ad/original/DP243700.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP243700.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP243696.jpg'],"[{'constituentID': 1232, 'role': 'Maker', 'name': 'Possibly Sebastian Witmer', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Bottle,Bottle,,,,,,Maker,Possibly,Sebastian Witmer,,,"Witmer, Sebastian",,,9999,,,,1763–74,1763,1774,Non-lead glass with enamel decoration,H. 7 1/2 in. (19.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 19.1}}]","Gift of Frederick W. Hunter, 1913",Made in,,,,Czech Republic,Bohemia,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/633,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q116373153,False,774
634,False,17.108.11,1917,True,https://images.metmuseum.org/CRDImages/ad/original/DP105079.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP105079.jpg,['https://images.metmuseum.org/CRDImages/ad/original/DP105078.jpg'],,The American Wing,Bottle,Bottle,Mexican,,,,,,,,,,,,,,,,,1800–1900,1800,1900,Tin-glazed earthenware,H. 6 1/2 in. (16.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 16.5}}]","Gift of Mrs. Robert W. de Forest, 1911",Made in,,,,Mexico,,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/634,,https://www.wikidata.org/wiki/Q83560026,True,774
635,False,17.108.12,1917,True,https://images.metmuseum.org/CRDImages/ad/original/DP105080.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP105080.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/36384.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP105078.jpg']",,The American Wing,Bottle,Bottle,Mexican,,,,,,,,,,,,,,,,,1800–1900,1800,1900,Tin-glazed earthenware,H. 6 1/2 in. (16.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 16.5}}]","Gift of Mrs. Robert W. de Forest, 1911",Made in,,,,Mexico,,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/635,,https://www.wikidata.org/wiki/Q116390308,False,774
