objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
109,False,1989.120.2,1989,True,https://images.metmuseum.org/CRDImages/ad/original/248479.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/248479.jpg,[],"[{'constituentID': 166052, 'role': 'Maker', 'name': 'John Bailey', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500524521', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,John Bailey,"American, active New York, 1736–1815",,"Bailey, John",American,1736,1815,,,http://vocab.getty.edu/page/ulan/500524521,1792–1814,1792,1814,Brass and iron,16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 37.7826, 'Height': 41, 'Width': 25.4}}]","Purchase, Mr. and Mrs. George M. Kaufman Gift, 1989",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/109,,https://www.wikidata.org/wiki/Q116373671,False,774
110,False,41.160.374,1941,True,https://images.metmuseum.org/CRDImages/ad/original/126257.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/126257.jpg,[],"[{'constituentID': 1090, 'role': 'Maker', 'name': 'James Davis', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,James Davis,active 1803–28,,"Davis, James",American,1803,1828,,,,1803–28,1803,1828,Brass,18 1/2 x 17 in. (47 x 43.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 47, 'Width': 43.1801}}]","Bequest of W. Gedney Beatty, 1941",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/110,,https://www.wikidata.org/wiki/Q116373666,False,774
111,False,41.160.375,1941,True,https://images.metmuseum.org/CRDImages/ad/original/126257.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/126257.jpg,[],"[{'constituentID': 1090, 'role': 'Maker', 'name': 'James Davis', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,James Davis,active 1803–28,,"Davis, James",American,1803,1828,,,,1803–28,1803,1828,Brass,18 1/2 x 17 in. (47 x 43.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 47, 'Width': 43.1801}}]","Bequest of W. Gedney Beatty, 1941",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/111,,https://www.wikidata.org/wiki/Q116373668,False,774
112,False,1985.349.1,1985,True,https://images.metmuseum.org/CRDImages/ad/original/240609.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/240609.jpg,[],"[{'constituentID': 1091, 'role': 'Maker', 'name': 'John Molineux', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,John Molineux,active ca. 1800–1820,,"Molineux, John",American,1797,1820,,,,ca. 1810,1807,1810,"Brass, iron",H. 17 in. (43.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 43.1801}}]","Gift of The Wunsch Americana Foundation Inc., 1985",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/112,,https://www.wikidata.org/wiki/Q116373661,False,774
113,False,1985.349.2,1985,True,https://images.metmuseum.org/CRDImages/ad/original/240609.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/240609.jpg,[],"[{'constituentID': 1091, 'role': 'Maker', 'name': 'John Molineux', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,John Molineux,active ca. 1800–1820,,"Molineux, John",American,1797,1820,,,,ca. 1810,1807,1810,"Brass, iron",H. 17 in. (43.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 43.1801}}]","Gift of The Wunsch Americana Foundation Inc., 1985",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/113,,https://www.wikidata.org/wiki/Q116373662,False,774
114,False,30.120.89,1930,True,https://images.metmuseum.org/CRDImages/ad/original/81081.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/81081.jpg,['https://images.metmuseum.org/CRDImages/ad/original/171350.jpg'],"[{'constituentID': 9375, 'role': 'Maker', 'name': 'Revere and Son', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,Revere and Son,ca. 1787–?,,Revere and Son,American,1787,,,,,1787–1810,1787,1810,"Brass, iron",24 1/2 in. × 13 in. × 20 3/8 in. (62.2 × 33 × 51.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 51.7526, 'Height': 62.230125, 'Width': 33.020065}}]","The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2024-08-29T04:53:50.48Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/114,,https://www.wikidata.org/wiki/Q116373657,False,719
115,False,30.120.90,1930,True,https://images.metmuseum.org/CRDImages/ad/original/81081.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/81081.jpg,[],"[{'constituentID': 9375, 'role': 'Maker', 'name': 'Revere and Son', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,Revere and Son,ca. 1787–?,,Revere and Son,American,1787,,,,,1787–1810,1787,1810,"Brass, iron",24 1/2 in. × 13 in. × 20 3/8 in. (62.2 × 33 × 51.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 51.7526, 'Height': 62.2, 'Width': 33.020065}}]","The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2024-08-29T04:53:50.48Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/115,,https://www.wikidata.org/wiki/Q116373660,False,719
116,False,52.77.60,1952,True,https://images.metmuseum.org/CRDImages/ad/original/153671.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/153671.jpg,['https://images.metmuseum.org/CRDImages/ad/original/158330.jpg'],"[{'constituentID': 162303, 'role': 'Maker', 'name': 'Paul Revere Jr.', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500017620', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q327071', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,Paul Revere Jr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts",,"Revere, Paul, Jr.",American,1734,1818,,https://www.wikidata.org/wiki/Q327071,http://vocab.getty.edu/page/ulan/500017620,ca. 1790,1787,1790,Brass,H. 21 1/8 in. (53.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 53.6576}}]","Bequest of Mrs. J. Insley Blair, 1951",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/116,,https://www.wikidata.org/wiki/Q116373652,False,774
117,False,52.77.61,1952,True,https://images.metmuseum.org/CRDImages/ad/original/153671.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/153671.jpg,[],"[{'constituentID': 162303, 'role': 'Maker', 'name': 'Paul Revere Jr.', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500017620', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q327071', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,,Paul Revere Jr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts",,"Revere, Paul, Jr.",American,1734,1818,,https://www.wikidata.org/wiki/Q327071,http://vocab.getty.edu/page/ulan/500017620,ca. 1790,1787,1790,Brass,H. 21 1/8 in. (53.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 53.6576}}]","Bequest of Mrs. J. Insley Blair, 1951",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/117,,https://www.wikidata.org/wiki/Q116373655,False,774
118,False,1971.180.61a,1971,False,,,[],"[{'constituentID': 162303, 'role': 'Maker', 'name': 'Attributed to Paul Revere Jr.', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500017620', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q327071', 'gender': ''}]",The American Wing,Andiron,Andiron,American,,,,,Maker,Attributed to,Paul Revere Jr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts",,"Revere, Paul, Jr.",American,1734,1818,,https://www.wikidata.org/wiki/Q327071,http://vocab.getty.edu/page/ulan/500017620,ca. 1780,1777,1780,Bell metal,31 1/2 x 14 x 23 1/2 in. (80 x 35.6 x 59.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 59.7, 'Height': 80, 'Width': 35.5601}}]","Bequest of Flora E. Whiting, 1971",Made in,Boston,Massachusetts,,United States,New England,,,,,,,,,2023-10-12T04:55:57.067Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/118,,https://www.wikidata.org/wiki/Q116390110,False,774
