objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
236,False,88.10.3,1888,True,https://images.metmuseum.org/CRDImages/ad/original/DP341697.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP341697.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP341696.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364531.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364532.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364533.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364534.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364535.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364536.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364537.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364538.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364539.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP341698.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP341699.jpg']","[{'constituentID': 163814, 'role': 'Maker', 'name': 'Pottier and Stymus Manufacturing Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500330539', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2106610', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19,,Pottier and Stymus Manufacturing Company,,1858,1919,,https://www.wikidata.org/wiki/Q2106610,http://vocab.getty.edu/page/ulan/500330539,ca. 1875–76,1870,1881,"Black walnut, original and reproduction upholstery",51 3/4 x 28 x 25 in. (131.4 x 71.1 x 63.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 63.5001, 'Height': 131.4, 'Width': 71.1201}}]","Gift of Auguste Pottier, 1888",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/236,,https://www.wikidata.org/wiki/Q116373574,False,730
237,True,1970.35.1,1970,True,https://images.metmuseum.org/CRDImages/ad/original/DT179.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT179.jpg,['https://images.metmuseum.org/CRDImages/ad/original/ADA3177.jpg'],"[{'constituentID': 163814, 'role': 'Maker', 'name': 'Attributed to Pottier and Stymus Manufacturing Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500330539', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2106610', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19,,Pottier and Stymus Manufacturing Company,,1858,1919,,https://www.wikidata.org/wiki/Q2106610,http://vocab.getty.edu/page/ulan/500330539,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 69.9, 'Height': 93.9802, 'Width': 69.9}}]","Funds from various donors, 1970",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/237,"[{'term': 'Sphinx', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375739', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q151480'}]",https://www.wikidata.org/wiki/Q29382865,True,736
238,False,1986.447.2,1986,True,https://images.metmuseum.org/CRDImages/ad/original/243157.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/243157.jpg,[],"[{'constituentID': 1119, 'role': 'Maker', 'name': 'Follower of Henry Hobson Richardson', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500016339', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q723234', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Follower of,Henry Hobson Richardson,1836–1886,,"Richardson, Henry Hobson",American,1836,1886,,https://www.wikidata.org/wiki/Q723234,http://vocab.getty.edu/page/ulan/500016339,ca. 1880,1877,1880,Oak,33 x 25 x 29 in. (83.8 x 63.5 x 73.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 73.7, 'Height': 83.8, 'Width': 63.5001}}]","Anonymous Gift, 1986",Made in,,,,United States,New England,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/238,,,False,
239,False,64.202.1,1964,False,,,[],"[{'constituentID': 162542, 'role': 'Maker', 'name': 'Louis C. Tiffany', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500030415', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q312950', 'gender': ''}, {'constituentID': 162540, 'role': 'Maker', 'name': 'Tiffany Glass and Decorating Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500331512', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,Louis C. Tiffany,"American, New York 1848–1933 New York",,"Tiffany, Louis C.",American,1848,1933,,https://www.wikidata.org/wiki/Q312950,http://vocab.getty.edu/page/ulan/500030415,ca. 1891–93,1888,1893,"Prima vera, American ash (secondary wood); marquetry of various woods and brass; replacement upholstery",35 5/8 x 25 1/4 x 26 1/8 in. (90.5 x 64.1 x 66.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 66.3576, 'Height': 90.5, 'Width': 64.1}}]","Gift of Mr. and Mrs. George E. Seligmann, 1964",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/239,,https://www.wikidata.org/wiki/Q116373572,False,743
240,False,64.202.2,1964,False,,,[],"[{'constituentID': 162542, 'role': 'Maker', 'name': 'Louis C. Tiffany', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500030415', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q312950', 'gender': ''}, {'constituentID': 162540, 'role': 'Maker', 'name': 'Tiffany Glass and Decorating Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500331512', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,Louis C. Tiffany,"American, New York 1848–1933 New York",,"Tiffany, Louis C.",American,1848,1933,,https://www.wikidata.org/wiki/Q312950,http://vocab.getty.edu/page/ulan/500030415,ca. 1893,1890,1893,"Prima vera, American ash (secondary wood); marquetry of various woods and brass; replacement upholstery",35 3/8 x 25 5/8 x 26 1/4 in. (89.9 x 65.1 x 66.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 66.7, 'Height': 89.8527, 'Width': 65.1}}]","Gift of Mr. and Mrs. George E. Seligmann, 1964",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/240,,https://www.wikidata.org/wiki/Q116373566,False,774
243,False,1979.130,1979,False,,,[],"[{'constituentID': 162765, 'role': 'Maker', 'name': 'Frank Lloyd Wright', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500020307', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q5604', 'gender': ''}]",The American Wing,Revolving armchair,Revolving Armchair,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867,1959,,https://www.wikidata.org/wiki/Q5604,http://vocab.getty.edu/page/ulan/500020307,ca. 1904,1901,1904,"Steel, wood",38 x 20 3/4 x 24 3/4 in. (96.5 x 52.7 x 62.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 62.8651, 'Height': 96.5, 'Width': 52.7}}]","Purchase, Theodore R. Gamble Jr. Gift, in honor of his mother, Mrs. Theodore Robert Gamble, 1979",,,,,,,,,,,,,"© 2025 Artists Rights Society (ARS), New York",,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/243,,https://www.wikidata.org/wiki/Q116390159,True,774
244,False,1970.290.12,1970,True,https://images.metmuseum.org/CRDImages/ad/original/199194.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/199194.jpg,[],,The American Wing,Armchair,Armchair,American,,,,,,,,,,,,,,,,,1877–80,1877,1880,Mahogany,36 1/2 x 24 x 23 3/4 in. (92.7 x 61 x 60.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 60.3, 'Height': 92.7, 'Width': 60.9601}}]","Gift of Richard T. Button, 1970",Made in,,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/244,,,False,
245,False,1970.290.13,1970,True,https://images.metmuseum.org/CRDImages/ad/original/199194.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/199194.jpg,[],,The American Wing,Armchair,Armchair,American,,,,,,,,,,,,,,,,,1877–80,1877,1880,Mahogany,36 1/2 x 24 x 23 3/4 in. (92.7 x 61 x 60.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 60.3, 'Height': 92.7, 'Width': 60.9601}}]","Gift of Richard T. Button, 1970",Made in,,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/245,,,False,
246,False,68.133.2,1968,True,https://images.metmuseum.org/CRDImages/ad/original/255564.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/255564.jpg,[],"[{'constituentID': 1122, 'role': 'Maker', 'name': 'Attributed to John Jelliff', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500062668', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q55720851', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,John Jelliff,1813–1893,,"Jelliff, John",American,1813,1893,,https://www.wikidata.org/wiki/Q55720851,http://vocab.getty.edu/page/ulan/500062668,1868–70,1868,1870,"Rosewood, ash, mother-of-pearl",44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 74.6, 'Height': 113, 'Width': 72.3901}}]","Gift of Josephine M. Fiala, 1968",Made in,Newark,New Jersey,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/246,,https://www.wikidata.org/wiki/Q116373569,False,737
247,False,68.133.3,1968,True,https://images.metmuseum.org/CRDImages/ad/original/DP-20204-001.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-20204-001.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP-20204-002.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DT11625.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/190798.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/ADA3265.jpg']","[{'constituentID': 1122, 'role': 'Maker', 'name': 'Attributed to John Jelliff', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500062668', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q55720851', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,John Jelliff,1813–1893,,"Jelliff, John",American,1813,1893,,https://www.wikidata.org/wiki/Q55720851,http://vocab.getty.edu/page/ulan/500062668,1868–70,1868,1870,"Rosewood, ash, mother-of-pearl",44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 74.6126, 'Height': 113, 'Width': 72.4}}]","Gift of Josephine M. Fiala, 1968",Made in,Newark,New Jersey,,United States,Mid-Atlantic,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/247,,https://www.wikidata.org/wiki/Q83560008,True,737
