Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,1,,Classic,VAN DER POEL Mathieu Alpecin - Deceuninck,29,Alpecin - Deceuninck,800,275,5:25:58
2,4,,Sprint,PHILIPSEN Jasper Alpecin - Deceuninck,26,Alpecin - Deceuninck,640,200,3:003:00
3,21,,Classic,PEDERSEN Mads Lidl - Trek,28,Lidl - Trek,520,150,",,3:00"
4,81,,Classic,POLITT Nils UAE Team Emirates,30,UAE Team Emirates,440,120,",,3:00"
5,31,,TT,KÜNG Stefan Groupama - FDJ,30,Groupama - FDJ,360,100,3:153:15
6,7,,Classic,VERMEERSCH Gianni Alpecin - Deceuninck,31,Alpecin - Deceuninck,280,90,3:473:47
7,36,,Classic,PITHIE Laurence Groupama - FDJ,21,Groupama - FDJ,240,80,3:483:48
8,135,,Classic,MEEUS Jordi BORA - hansgrohe,25,BORA - hansgrohe,200,70,4:474:47
9,77,,TT,WÆRENSKJOLD Søren Uno-X Mobility,24,Uno-X Mobility,160,60,",,4:47"
