Rnk,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Time
1,1,,Classic,VAN DER POEL Mathieu Alpecin - Deceuninck,29,Alpecin - Deceuninck,800,275,6:05:17
2,46,,Classic,MOZZATO Luca Arkéa - B&B Hotels,26,Arkéa - B&B Hotels,640,200,1:021:02
3,177,,Classic,POLITT Nils UAE Team Emirates,30,UAE Team Emirates,520,150,",,1:02"
4,173,,TT,BJERG Mikkel UAE Team Emirates,25,UAE Team Emirates,440,120,",,1:02"
5,176,,Classic,MORGADO António UAE Team Emirates,20,UAE Team Emirates,360,100,",,1:02"
6,123,,TT,SHEFFIELD Magnus INEOS Grenadiers,21,INEOS Grenadiers,280,90,",,1:02"
7,92,,Classic,NAESEN Oliver Decathlon AG2R La Mondiale Team,33,Decathlon AG2R La Mondiale Team,240,80,",,1:02"
8,181,,GC,TEUNS Dylan Israel - Premier Tech,32,Israel - Premier Tech,200,70,",,1:02"
9,101,,Classic,BETTIOL Alberto EF Education - EasyPost,30,EF Education - EasyPost,160,60,",,1:02"
