Rank;Date_of_birth;Nationality;Weight;Height;PCS_points;One_day_races;GC;Time_trial;Sprint;Climber;Hills
175;27th July 2001 ;Denmark;9;1.81;391;249;203;8;38;91;266
176;29th October 2002 ;Czech Republic;3;1.84;447;313;59;22;314;44;382
177;21st March 1994 ;Netherlands;8;1.71;609;1227;96;4;2533;0;240
178;19th August 1998 ;Uruguay;7;1.80;264;344;287;203;38;72;218
179;10th July 2003 ;"NorwayHeight: 1.86 mPlace of birth: SandnesPoints per specialty363Onedayraces309GC114TT166Sprint50Climber214HillsinstaXstravawiki

UCI World157
PCS Ranking167


Visits:▼548  this week";;1.86;383;363;309;114;166;50;214
180;13th February 1994 ;France;6;1.70;275;3076;175;0;2267;29;907
181;17th July 2002 ;New Zealand;4;1.85;723;1029;111;65;528;36;526
182;25th April 1992 ;France;9;1.71;429;3028;1202;289;5636;208;2527
183;24th September 2001 ;Great Britain;8;1.86;260;389;226;246;216;46;377
184;12th June 1998 ;Hungary;5;1.85;523;719;1103;287;30;1206;551
185;17th November 1998 ;France;1;1.68;372;742;508;28;26;572;772
186;27th August 2002 ;Germany;9;1.81;298;197;354;158;10;336;330
187;1st September 1996 ;Ireland;7;1.70;376;342;1421;252;24;1010;445
188;24th June 1996 ;Italy;0;1.90;362;157;259;1853;212;6;136
189;13th September 1994 ;United States;1;1.82;479;193;2552;314;43;3288;562
190;26th November 1986 ;Netherlands;4;1.84;401;5218;6008;2074;179;7432;4093
191;16th August 2003 ;Spain;5;1.93;177;146;306;244;55;194;66
192;13th June 1999 ;Great Britain;5;1.84;297;573;375;415;159;348;1218
193;14th August 1996 ;Italy;3;1.80;248;1238;65;28;1644;5;401
194;27th April 1997 ;Colombia;3;1.80;287;96;697;265;8;624;566
195;6th January 1992 ;France;2;1.79;419;861;1031;122;296;1034;1492
196;26th August 2000 ;Italy;4;1.88;355;478;212;278;108;138;334
197;26th August 1991 ;France;6;1.81;344;6670;1536;483;4564;206;2572
198;13th September 1998 ;Switzerland;8;1.81;360;343;242;2332;174;18;381
199;6th August 2005 ;Great Britain;8;;117;254;19;14;208;42;196
200;16th November 2001 ;Ireland;6;1.72;414;213;248;6;0;303;220
201;24th April 1998 ;Poland;0;1.78;326;113;340;36;81;107;386
202;19th January 1996 ;Australia;9;1.80;280;628;200;78;1270;0;156
203;13th June 1993 ;Germany;0;1.99;306;1665;333;967;1969;17;410
204;3rd March 1995 ;Spain;9;1.78;452;289;1283;38;2;1036;374
205;21st October 2001 ;Germany;5;1.89;275;200;215;107;0;410;166
206;25th May 1997 ;Norway;4;1.84;300;115;742;1773;13;484;299
207;3rd November 1998 ;Denmark;8;1.91;433;477;437;2295;128;116;322
208;20th January 1997 ;Poland;8;1.81;326;739;272;123;1378;26;418
209;28th October 1991 ;Belgium;8;1.73;330;774;940;3503;200;378;776
210;19th April 1990 ;Belgium;2;1.82;434;3182;526;21;3526;134;799
211;31st January 1992 ;Belgium;1;1.81;330;1154;1380;148;454;758;989
212;21st May 1996 ;Belgium;4;1.73;401;1062;60;23;916;58;416
213;21st September 1998 ;Slovenia;6;1.76;4588;6552;6594;2623;227;8133;3410
214;15th September 1994 ;Belgium;8;1.90;1428;7232;1171;3014;1894;2044;4313
215;25th January 2000 ;Belgium;1;1.71;2889;3084;3994;3845;120;3874;1276
216;10th December 1996 ;Denmark;8;1.75;1702;320;4836;1964;34;4240;1461
217;19th January 1995 ;Netherlands;5;1.84;1612;7341;1124;968;1672;1072;3268
218;18th December 1995 ;Denmark;0;1.80;1467;3862;1507;1697;2762;368;2814
219;29th October 1989 ;Slovenia;5;1.77;1513;1877;7854;5542;163;7904;2860
220;24th August 1998 ;Switzerland;1;1.74;2041;4920;1431;334;75;2124;2224
221;15th November 1996 ;Netherlands;7;1.72;3087;5529;4616;1805;500;2497;4563
222;10th November 1995 ;Belgium;6;1.70;3770;6879;2710;1817;3827;502;2596
223;29th September 1994 ;Poland;9;1.65;1468;6423;4535;1115;956;3034;5086
224;26th May 1999 ;"FranceHeight: 1.70 mPlace of birth: Lons-le-SaunierPoints per specialty1378Onedayraces1629GC68TT36Sprint1740Climber2022HillsXstravainstawikifbCross profile

UCI World12
PCS Ranking9
All time126


Visits:▼1350  this week";;1.70;1347;1378;1629;68;36;1740;2022
225;7th April 1990 ;New Zealand;8;1.81;339;864;3469;266;86;2866;1044
226;7th September 1992 ;Kazakhstan;4;1.74;343;2397;3148;1099;972;2672;1610
227;20th July 1994 ;Italy;0;1.68;368;1701;461;116;571;1179;2003
228;22nd July 2001 ;"NetherlandsHeight: 1.81 mPlace of birth: SchiedamPoints per specialty457Onedayraces92GC16TT944Sprint1Climber151HillsinstaXstravafbwiki

UCI World248
PCS Ranking204


Visits:▲62  this week";;1.81;369;457;92;16;944;1;151
229;19th April 2002 ;Italy;8;1.72;375;381;57;0;37;196;412
230;16th September 1990 ;Belgium;4;1.84;404;4282;1442;49;756;415;2294
231;28th June 2001 ;Spain;0;1.79;302;369;222;108;149;141;497
232;13th October 1991 ;Austria;4;1.81;206;1484;2642;458;88;2686;1666
233;2nd December 1995 ;Italy;9;1.70;377;1672;386;55;211;735;1240
234;14th November 2003 ;"Great BritainHeight: 1.77 mPlace of birth: TruroPoints per specialty176Onedayraces122GC12TT0Sprint126Climber318Hillsstravainstafbwiki

UCI World215
PCS Ranking210


Visits:▲233  this week";;1.77;334;176;122;12;0;126;318
235;27th April 1996 ;Colombia;6;1.79;320;232;260;9;86;106;262
236;16th May 1994 ;France;0;1.78;271;2295;814;184;584;178;1020
237;16th June 2000 ;United States;9;1.83;317;475;63;50;90;52;201
238;19th August 1994 ;Colombia;1;1.81;342;1866;211;85;3918;116;1844
239;14th October 1995 ;"NetherlandsHeight: 1.80 mPoints per specialty151Onedayraces441GC110TT28Sprint221Climber282Hillsinstafbstrava

UCI World242
PCS Ranking215


Visits:▲1308  this week";;1.80;496;151;441;110;28;221;282
240;23rd December 1993 ;Austria;4;1.84;370;477;2619;1222;265;1440;1412
241;13th February 1996 ;Belgium;5;1.83;246;264;988;43;34;850;394
242;9th November 1996 ;Italy;0;1.80;274;253;104;3;1126;42;646
243;5th March 2002 ;United States;5;1.72;333;33;418;160;8;605;57
244;1st August 1997 ;Colombia;7;1.66;363;1116;2132;130;64;2310;1277
245;28th November 1997 ;Spain;2;1.84;263;102;323;140;12;266;220
246;26th August 2000 ;Great Britain;4;1.88;247;309;92;439;701;73;686
247;31st October 1996 ;Belgium;8;1.74;335;1292;340;113;1112;80;817
248;25th June 1996 ;Great Britain;6;1.71;321;82;507;4;22;308;198
249;7th November 1999 ;Spain;4;1.89;436;444;436;202;66;244;370
250;10th November 2002 ;France;4;1.76;320;248;320;100;10;172;166
251;6th May 1989 ;Spain;6;1.82;168;174;2667;1060;42;2460;755
252;12th September 1989 ;Poland;2;1.73;294;1184;5569;919;107;6278;1919
253;25th March 1998 ;Italy;0;1.74;258;746;229;7;1648;10;614
254;20th August 2000 ;Spain;5;1.80;336;251;50;2;36;111;486
255;17th September 1989 ;France;2;1.78;289;1462;1651;161;56;1675;1030
256;20th October 1993 ;Italy;8;1.71;246;188;60;81;1539;42;320
257;12th January 1998 ;Belgium;9;1.91;222;490;483;279;126;54;418
258;18th January 1995 ;Spain;4;1.77;249;238;584;0;16;512;190
259;20th December 1997 ;Belgium;4;1.76;274;746;608;76;276;204;470
260;23rd May 1995 ;Italy;2;1.73;334;1828;792;23;64;1097;1202
261;23rd January 1998 ;Netherlands;5;1.92;160;746;279;222;769;0;262
262;8th May 2001 ;United States;3;1.85;269;489;474;38;87;408;516
263;17th August 2000 ;"FrancePlace of birth: NiortPoints per specialty177Onedayraces187GC55TT96Sprint26Climber95HillsXinstafbCross profile

UCI World247
PCS Ranking239


Visits:▼2534  this week";;;241;177;187;55;96;26;95
264;21st March 1996 ;Colombia;0;1.70;339;54;397;276;29;158;187
265;25th December 2000 ;Australia;2;1.81;334;110;685;417;23;430;322
266;31st August 1995 ;Italy;1;1.80;184;222;430;21;104;430;360
267;15th December 1999 ;Belgium;2;1.93;355;622;65;2;303;16;242
268;11th January 1997 ;Norway;5;1.86;90;385;3;36;812;0;82
269;25th October 1990 ;Italy;7;1.84;200;743;1554;2041;212;1213;733
270;4th May 2001 ;Great Britain;5;1.87;154;682;84;11;221;51;389
271;21st February 1992 ;South Africa;8;1.73;276;669;3164;347;4;3264;481
272;27th March 2000 ;Spain;2;1.77;360;202;225;68;0;432;224
273;11th October 1997 ;Germany;0;1.81;386;969;583;0;55;636;758
274;16th January 2003 ;France;0;1.77;411;460;66;104;224;30;121
275;7th February 1992 ;Denmark;1;1.79;238;2922;1188;453;84;1010;1858
276;23rd November 1994 ;Australia;7;1.85;250;430;1086;294;68;793;248
277;23rd March 1999 ;Italy;0;1.76;114;1352;342;113;8;1002;1102
278;21st January 1991 ;Czech Republic;2;1.81;384;129;1855;30;8;1636;128
279;30th November 1982 ;Italy;3;1.65;259;2678;6519;819;45;6308;1833
280;17th June 1997 ;Belgium;5;1.81;259;223;807;77;12;810;231
281;20th April 2000 ;Spain;4;1.88;151;263;116;5;30;114;346
282;30th April 1991 ;Belgium;2;1.83;113;2722;676;131;3041;26;996
283;31st July 1997 ;Spain;0;1.70;321;64;878;17;2;727;101
284;17th January 1996 ;France;5;1.77;203;526;536;13;13;630;522
285;21st January 1997 ;Denmark;8;1.85;235;1067;550;133;98;558;901
286;2nd November 2000 ;Belgium;8;1.84;294;437;41;8;242;76;278
287;28th May 1999 ;Great Britain;4;1.94;222;455;234;118;154;41;302
288;15th September 1998 ;Uganda;3;1.80;301;220;19;241;14;13;9
289;8th February 1995 ;Denmark;5;1.93;272;1605;796;2362;303;498;1426
290;23rd January 1994 ;Eritrea;8;1.73;375;633;1610;280;84;962;530
291;9th May 2001 ;Denmark;1;1.78;223;289;224;1;7;166;264
292;13th August 1992 ;Australia;8;1.88;202;269;1662;653;104;690;452
293;16th June 1998 ;Ecuador;6;1.64;197;172;648;84;0;454;64
294;29th April 1999 ;"ItalyPlace of birth: EmpoliPoints per specialty194Onedayraces153GC0TT59Sprint28Climber190HillsXfbfbinstastrava

UCI World264
PCS Ranking270


Visits:▲920  this week";;;212;194;153;0;59;28;190
295;1st June 1999 ;France;4;1.86;173;525;242;35;360;32;140
296;4th June 2001 ;Belgium;2;1.92;245;254;5;3;499;0;11
297;15th September 1993 ;Estonia;6;1.76;233;247;360;141;1665;22;215
298;12th June 1992 ;Luxembourg;8;1.94;270;617;499;705;327;127;471
299;20th January 1995 ;Belgium;0;1.81;168;1436;142;140;870;19;484
300;21st May 1999 ;Norway;2;1.86;216;240;960;534;4;604;254
301;6th May 1995 ;Spain;3;1.79;235;172;851;161;8;818;196
302;26th August 2001 ;Great Britain;6;1.69;26;410;641;461;8;360;522
303;20th June 1998 ;"ItalyPlace of birth: FaenzaPoints per specialty17Onedayraces159GC2TT75Sprint104Climber120Hillsfbinstastravawiki

UCI World367
PCS Ranking279


Visits:▼2126  this week";;;232;17;159;2;75;104;120
304;3rd April 1999 ;Great Britain;0;1.85;232;141;589;113;4;390;202
305;23rd February 1990 ;Slovenia;7;1.73;630;1227;863;1756;850;587;834
306;25th April 1997 ;Belgium;1;1.86;216;44;172;100;44;93;78
307;2nd October 1999 ;Great Britain;6;1.79;155;519;427;28;426;115;683
308;29th May 1997 ;"FranceHeight: 1.78 mPlace of birth: Mont-Saint-AignanPoints per specialty782Onedayraces101GC68TT252Sprint75Climber307HillsXstravafbinstaCross profile

UCI World267
PCS Ranking284


Visits:▼7  this week";;1.78;202;782;101;68;252;75;307
309;1st February 1997 ;France;3;1.74;182;178;452;14;15;354;178
310;6th April 2000 ;France;8;1.84;188;370;273;0;4;158;238
311;6th January 2000 ;Belgium;8;1.79;207;229;106;2;43;46;166
312;23rd April 2000 ;Spain;9;1.85;198;10;276;17;9;86;84
313;23rd February 2001 ;Spain;7;1.75;203;85;347;239;8;141;265
314;19th June 2002 ;"GermanyHeight: 1.83 mPlace of birth: MettmannPoints per specialty294Onedayraces47GC8TT545Sprint0Climber198Hillsinstastravawiki

UCI World234
PCS Ranking290


Visits:▲1323  this week";;1.83;203;294;47;8;545;0;198
315;1st April 1991 ;Austria;2;1.78;224;1275;634;77;261;88;576
316;10th August 1994 ;Denmark;3;1.78;226;1512;1406;1847;390;422;1390
317;24th April 1997 ;Canada;4;1.81;196;475;168;115;170;31;200
318;26th July 1998 ;Switzerland;6;;293;61;499;105;19;310;194
319;14th April 2001 ;Australia;0;1.72;18;222;114;20;22;59;126
320;4th February 1990 ;Colombia;8;1.67;187;829;9396;1274;90;7881;1958
321;11th April 1994 ;France;2;1.90;207;127;649;1552;5;278;208
322;16th January 1997 ;Spain;5;1.71;197;94;339;0;0;308;71
323;1st November 2002 ;Italy;2;1.72;246;446;53;2;29;132;297
324;6th March 1989 ;Portugal;7;1.80;221;610;1199;3786;24;544;882
325;21st September 1998 ;Slovenia;6;1.76;4588;6552;6594;2623;227;8133;3410
326;15th September 1994 ;Belgium;8;1.90;1428;7232;1171;3014;1894;2044;4313
327;25th January 2000 ;Belgium;1;1.71;2889;3084;3994;3845;120;3874;1276
328;10th December 1996 ;Denmark;8;1.75;1702;320;4836;1964;34;4240;1461
329;19th January 1995 ;Netherlands;5;1.84;1612;7341;1124;968;1672;1072;3268
330;18th December 1995 ;Denmark;0;1.80;1467;3862;1507;1697;2762;368;2814
331;29th October 1989 ;Slovenia;5;1.77;1513;1877;7854;5542;163;7904;2860
332;24th August 1998 ;Switzerland;1;1.74;2041;4920;1431;334;75;2124;2224
333;15th November 1996 ;Netherlands;7;1.72;3087;5529;4616;1805;500;2497;4563
334;10th November 1995 ;Belgium;6;1.70;3770;6879;2710;1817;3827;502;2596
335;29th September 1994 ;Poland;9;1.65;1468;6423;4535;1115;956;3034;5086
336;26th May 1999 ;"FranceHeight: 1.70 mPlace of birth: Lons-le-SaunierPoints per specialty1378Onedayraces1629GC68TT36Sprint1740Climber2022HillsXstravainstawikifbCross profile

UCI World12
PCS Ranking9
All time126


Visits:▼1350  this week";;1.70;1347;1378;1629;68;36;1740;2022
337;4th September 1996 ;Mongolia;0;1.71;171;515;472;395;216;154;235
338;2nd August 1997 ;Italy;4;1.70;206;65;164;0;845;20;282
339;15th October 2002 ;Belgium;4;1.69;266;62;352;62;6;360;260
340;14th April 2000 ;Russia;5;1.90;240;128;50;112;832;24;109
341;25th June 1993 ;Belgium;9;1.86;315;2060;216;10;1160;127;828
342;9th January 1998 ;France;9;1.66;349;801;77;0;948;0;170
343;2nd June 1990 ;Poland;8;1.76;157;4717;3670;3561;281;3312;3584
344;6th September 1993 ;Australia;7;1.90;234;682;2985;313;27;2474;1048
345;27th April 1997 ;Germany;5;1.85;138;187;225;17;12;107;98
346;8th April 1988 ;Austria;3;1.77;208;225;1405;692;374;651;218
347;9th August 1987 ;Spain;3;1.78;213;1103;1233;30;250;682;1280
348;16th February 2000 ;Kazakhstan;0;1.93;249;579;195;345;195;26;70
349;2nd February 1998 ;"ChinaPoints per specialty399Onedayraces318GC76TT66Sprint117Climber188Hillsinsta

UCI World232
PCS Ranking313


Visits:▲116  this week";;;167;399;318;76;66;117;188
350;16th October 1999 ;"ItalyPlace of birth: FidenzaPoints per specialty154Onedayraces157GC3TT24Sprint149Climber208Hillsstravainstafb

UCI World333
PCS Ranking314


Visits:▲1243  this week";;;204;154;157;3;24;149;208
351;28th July 1996 ;Norway;4;1.87;239;1618;281;118;553;82;551
352;3rd December 2000 ;Ecuador;5;1.60;223;54;308;15;13;288;153
353;4th April 1994 ;Austria;4;1.80;190;843;796;239;74;932;456
354;23rd May 1999 ;Eritrea;0;1.75;312;619;577;5;240;471;820
355;28th October 1991 ;France;1;1.83;306;2674;2988;100;80;3872;1914
356;11th July 1994 ;Australia;9;1.65;259;2567;333;148;5637;186;2104
357;21st March 1995 ;Russia;4;1.95;198;140;533;282;2;244;62
358;20th November 1995 ;Spain;7;1.83;189;1730;313;110;962;284;1459
359;9th January 1997 ;Estonia;9;1.73;194;100;473;66;424;0;48
360;8th July 2000 ;"NorwayHeight: 1.84 mPlace of birth: LillehammerPoints per specialty63Onedayraces263GC86TT18Sprint90Climber76Hillsstravainstafb

UCI World362
PCS Ranking324


Visits:▼218  this week";;1.84;192;63;263;86;18;90;76
361;5th August 1999 ;Belgium;3;1.85;179;457;97;11;360;42;292
362;4th July 1991 ;Belgium;3;1.84;159;1661;276;1;1201;131;338
363;8th May 2001 ;Norway;2;1.88;198;305;13;9;404;0;71
364;12th July 2003 ;"ItalyPlace of birth: ConeglianoPoints per specialty165Onedayraces119GC5TT60Sprint124Climber163Hillsfbinstawiki

UCI World319
PCS Ranking328


Visits:▼1251  this week";;;182;165;119;5;60;124;163
365;15th March 2000 ;Netherlands;4;1.89;182;282;129;347;265;46;178
366;17th January 1990 ;Colombia;5;1.64;151;1249;3346;225;44;3780;1410
367;21st January 1999 ;Belgium;2;1.85;142;732;85;3;602;12;455
368;1st August 1999 ;Belgium;2;1.78;180;115;320;0;0;207;195
369;19th January 1998 ;France;3;1.78;164;28;172;26;18;76;88
370;29th March 2002 ;France;2;1.85;229;198;228;14;14;130;192
371;13th November 2005 ;Belgium;4;1.66;154;37;113;10;0;133;36
372;17th March 1992 ;France;0;1.76;185;231;773;43;22;382;272
373;13th March 1986 ;Germany;4;1.71;208;1572;1563;668;24;1657;1033
374;5th September 1996 ;Portugal;6;1.83;207;526;156;26;400;44;534
375;22nd February 1999 ;Netherlands;4;1.98;154;198;126;718;47;16;80
376;5th April 1999 ;Italy;4;1.70;89;53;169;0;134;54;185
377;17th April 2000 ;Slovenia;3;1.80;185;200;50;132;266;84;384
378;10th January 1998 ;Italy;5;1.78;241;622;291;36;210;300;986
379;27th July 1998 ;Belgium;0;1.81;185;411;291;483;180;156;258
380;12th March 1999 ;Belgium;1;1.93;48;1298;494;366;503;54;315
