Rank;Date_of_birth;Nationality;Weight;Height;PCS_points;One_day_races;GC;Time_trial;Sprint;Climber;Hills
453;18th November 1992 ;Germany;9;1.80;173;778;3155;233;80;2878;827
454;2nd December 1993 ;Netherlands;0;1.78;194;156;964;447;42;614;366
455;31st July 1997 ;France;1;1.85;118;56;473;839;28;45;130
456;31st August 1996 ;Netherlands;8;1.81;241;1883;148;38;3676;6;654
457;18th August 1994 ;Latvia;9;1.89;191;789;717;250;96;427;624
458;18th April 1997 ;"AlgeriaPlace of birth: El-BiarPoints per specialty376Onedayraces92GC81TT1000Sprint10Climber49Hillsstravainstafbwiki

UCI World286
PCS Ranking410


Visits:▲253  this week";;;87;376;92;81;1000;10;49
459;16th April 1992 ;"ColombiaPlace of birth: El Carmen de ViboralPoints per specialty45Onedayraces117GC1100TT22Sprint24Climber60Hillsinstastravafbwiki

UCI World382
PCS Ranking411


Visits:▼4  this week";;;141;45;117;1100;22;24;60
460;9th July 2002 ;Denmark;4;1.82;121;118;26;28;260;8;53
461;13th August 1989 ;Italy;0;1.81;247;1182;600;6;1023;141;1472
462;7th July 1996 ;France;9;1.74;163;692;336;89;338;40;393
463;14th September 1997 ;Italy;7;1.90;158;25;224;12;0;178;72
464;12th March 1991 ;"South AfricaPlace of birth: JohannesburgPoints per specialty82Onedayraces0GC212TT0Sprint2Climber2Hillsfbstrava

UCI World467
PCS Ranking416


Visits:▲5  this week";;;175;82;0;212;0;2;2
465;12th October 1987 ;Italy;7;1.79;144;835;4523;1310;70;4230;1576
466;8th February 1998 ;France;7;1.74;52;684;162;59;9;92;338
467;23rd July 2001 ;Belgium;9;1.89;137;62;27;11;141;0;68
468;8th April 2000 ;"SpainPlace of birth: OlaberriaPoints per specialty169Onedayraces29GC0TT40Sprint58Climber161HillsinstastravawikiCross profile

UCI World428
PCS Ranking420


Visits:▲764  this week";;;119;169;29;0;40;58;161
469;2nd March 2000 ;Italy;0;1.88;133;43;121;81;20;314;143
470;13th March 2000 ;"FrancePlace of birth: PertuisPoints per specialty33Onedayraces89GC8TT0Sprint62Climber72Hillsinstastravafb

UCI World470
PCS Ranking422


Visits:▲8  this week";;;92;33;89;8;0;62;72
471;17th November 2001 ;Italy;9;1.70;161;157;117;39;0;98;132
472;3rd September 1993 ;Switzerland;3;1.83;121;772;178;27;308;18;334
473;28th December 1994 ;Norway;5;1.81;159;812;1090;55;18;800;906
474;6th November 2003 ;Germany;0;1.95;158;135;0;44;134;8;38
475;16th January 1997 ;Spain;2;1.82;171;107;366;8;17;264;231
476;14th January 1999 ;Russia;3;1.88;126;44;50;8;82;12;116
477;12th July 2001 ;"Great BritainPlace of birth: DouglasPoints per specialty32Onedayraces98GC239TT32Sprint8Climber56HillsstravaXinstawiki

UCI World384
PCS Ranking429


Visits:▼270  this week";;;123;32;98;239;32;8;56
478;30th March 1993 ;Italy;1;1.72;166;588;980;258;154;682;873
